training: rounds=170 workers=12 episodes/worker=6 grad_steps/round=300 device=cpu
  lr=0.0007 gamma=0.99 n_step=3 eps 1.0->0.02 over 250000 steps
round   92/170 | lines    0.11 | score       11 | eps 0.425 | buf  146796 | loss 1.1864 | +  1994 |   4.3s
round   93/170 | lines    0.10 | score       10 | eps 0.417 | buf  148751 | loss 1.1660 | +  1955 |   4.2s
round   94/170 | lines    0.15 | score       16 | eps 0.409 | buf  150756 | loss 1.1892 | +  2005 |   4.3s
round   95/170 | lines    0.07 | score        7 | eps 0.401 | buf  152765 | loss 1.1855 | +  2009 |   4.2s
round   96/170 | lines    0.19 | score       25 | eps 0.393 | buf  154826 | loss 1.1819 | +  2061 |   4.3s
round   97/170 | lines    0.25 | score       27 | eps 0.385 | buf  156918 | loss 1.1818 | +  2092 |   4.3s
round   98/170 | lines    0.21 | score       21 | eps 0.377 | buf  158904 | loss 1.1989 | +  1986 |   4.2s
round   99/170 | lines    0.31 | score       33 | eps 0.369 | buf  161071 | loss 1.1867 | +  2167 |   4.5s
  eval: 1.08 lines/game (max 2), score 117, pieces 38 *best*
round  100/170 | lines    0.17 | score       19 | eps 0.360 | buf  163203 | loss 1.2061 | +  2132 |   6.2s
round  101/170 | lines    0.25 | score       25 | eps 0.352 | buf  165367 | loss 1.2019 | +  2164 |   4.6s
round  102/170 | lines    0.21 | score       27 | eps 0.344 | buf  167465 | loss 1.1999 | +  2098 |   4.4s
round  103/170 | lines    0.29 | score       38 | eps 0.335 | buf  169672 | loss 1.2171 | +  2207 |   4.6s
round  104/170 | lines    0.15 | score       15 | eps 0.326 | buf  171835 | loss 1.2182 | +  2163 |   4.5s
round  105/170 | lines    0.43 | score       51 | eps 0.317 | buf  174157 | loss 1.2210 | +  2322 |   4.7s
round  106/170 | lines    0.50 | score       58 | eps 0.308 | buf  176543 | loss 1.2325 | +  2386 |   4.7s
round  107/170 | lines    0.43 | score       47 | eps 0.299 | buf  178832 | loss 1.2251 | +  2289 |   4.6s
round  108/170 | lines    0.53 | score       65 | eps 0.290 | buf  181215 | loss 1.2590 | +  2383 |   4.7s
round  109/170 | lines    0.46 | score       61 | eps 0.281 | buf  183545 | loss 1.2839 | +  2330 |   4.8s
  eval: 12.83 lines/game (max 44), score 2821, pieces 69 *best*
round  110/170 | lines    0.75 | score       85 | eps 0.271 | buf  185966 | loss 1.2968 | +  2421 |   8.3s
round  111/170 | lines    1.15 | score      136 | eps 0.261 | buf  188525 | loss 1.3179 | +  2559 |   5.0s
round  112/170 | lines    0.79 | score       99 | eps 0.251 | buf  190966 | loss 1.3463 | +  2441 |   4.9s
round  113/170 | lines    1.78 | score      217 | eps 0.241 | buf  193659 | loss 1.3912 | +  2693 |   5.1s
round  114/170 | lines    0.69 | score       84 | eps 0.231 | buf  196074 | loss 1.4178 | +  2415 |   5.1s
round  115/170 | lines    1.32 | score      163 | eps 0.221 | buf  198698 | loss 1.4467 | +  2624 |   5.2s
round  116/170 | lines    0.88 | score      107 | eps 0.211 | buf  201224 | loss 1.4544 | +  2526 |   5.1s
round  117/170 | lines    0.75 | score       92 | eps 0.201 | buf  203734 | loss 1.4535 | +  2510 |   4.9s
round  118/170 | lines    1.81 | score      224 | eps 0.191 | buf  206499 | loss 1.5093 | +  2765 |   5.1s
round  119/170 | lines    1.14 | score      135 | eps 0.180 | buf  209108 | loss 1.5199 | +  2609 |   5.1s
  eval: 3.58 lines/game (max 8), score 475, pieces 45
round  120/170 | lines    2.11 | score      261 | eps 0.169 | buf  211973 | loss 1.5753 | +  2865 |   7.3s
round  121/170 | lines    1.40 | score      164 | eps 0.158 | buf  214722 | loss 1.6041 | +  2749 |   5.4s
round  122/170 | lines    1.11 | score      141 | eps 0.148 | buf  217409 | loss 1.6229 | +  2687 |   5.2s
round  123/170 | lines    2.40 | score      312 | eps 0.136 | buf  220365 | loss 1.6690 | +  2956 |   5.4s
round  124/170 | lines    1.57 | score      192 | eps 0.125 | buf  223120 | loss 1.7208 | +  2755 |   5.6s
round  125/170 | lines    1.43 | score      178 | eps 0.115 | buf  225823 | loss 1.7444 | +  2703 |   5.8s
round  126/170 | lines    0.78 | score       97 | eps 0.105 | buf  228427 | loss 1.7268 | +  2604 |   5.7s
round  127/170 | lines    1.28 | score      151 | eps 0.094 | buf  231214 | loss 1.7585 | +  2787 |   5.7s
round  128/170 | lines    1.44 | score      174 | eps 0.083 | buf  233997 | loss 1.7530 | +  2783 |   5.8s
round  129/170 | lines    0.86 | score      109 | eps 0.072 | buf  236627 | loss 1.7817 | +  2630 |   5.8s
  eval: 1.75 lines/game (max 4), score 204, pieces 40
round  130/170 | lines    2.65 | score      339 | eps 0.061 | buf  239632 | loss 1.8416 | +  3005 |   7.8s
round  131/170 | lines    1.50 | score      176 | eps 0.050 | buf  242414 | loss 1.8566 | +  2782 |   6.0s
round  132/170 | lines    1.90 | score      227 | eps 0.038 | buf  245282 | loss 1.8641 | +  2868 |   6.2s
round  133/170 | lines    1.25 | score      142 | eps 0.028 | buf  247972 | loss 1.9022 | +  2690 |   6.1s
round  134/170 | lines    1.40 | score      160 | eps 0.020 | buf  250811 | loss 1.9258 | +  2839 |   6.1s
round  135/170 | lines    1.96 | score      223 | eps 0.020 | buf  253647 | loss 1.9307 | +  2836 |   6.2s
