training: rounds=170 workers=12 episodes/worker=6 grad_steps/round=300 device=cpu
  lr=0.0007 gamma=0.99 n_step=3 eps 1.0->0.02 over 250000 steps
round  123/170 | lines    0.43 | score       44 | eps 0.205 | buf  202747 | loss 1.3726 | +  1994 |   5.7s
round  124/170 | lines    0.47 | score       51 | eps 0.198 | buf  204617 | loss 1.3740 | +  1870 |   5.9s
round  125/170 | lines    0.69 | score       72 | eps 0.190 | buf  206660 | loss 1.3867 | +  2043 |   6.1s
round  126/170 | lines    0.47 | score       49 | eps 0.182 | buf  208573 | loss 1.3988 | +  1913 |   6.2s
round  127/170 | lines    0.42 | score       42 | eps 0.175 | buf  210457 | loss 1.4001 | +  1884 |   6.4s
round  128/170 | lines    0.51 | score       53 | eps 0.167 | buf  212395 | loss 1.3840 | +  1938 |   6.3s
round  129/170 | lines    0.44 | score       45 | eps 0.160 | buf  214300 | loss 1.3952 | +  1905 |   5.6s
  eval: 0.92 lines/game (max 3), score 96, pieces 28
round  130/170 | lines    0.54 | score       57 | eps 0.152 | buf  216265 | loss 1.4026 | +  1965 |   7.2s
round  131/170 | lines    0.47 | score       51 | eps 0.145 | buf  218150 | loss 1.4035 | +  1885 |   5.4s
round  132/170 | lines    0.53 | score       55 | eps 0.137 | buf  220044 | loss 1.4134 | +  1894 |   5.8s
round  133/170 | lines    0.60 | score       62 | eps 0.129 | buf  222098 | loss 1.4167 | +  2054 |   5.8s
round  134/170 | lines    0.81 | score       85 | eps 0.121 | buf  224172 | loss 1.4020 | +  2074 |   5.9s
round  135/170 | lines    0.69 | score       76 | eps 0.114 | buf  226128 | loss 1.4336 | +  1956 |   5.7s
round  136/170 | lines    0.79 | score       81 | eps 0.106 | buf  228176 | loss 1.4450 | +  2048 |   5.5s
round  137/170 | lines    0.58 | score       60 | eps 0.098 | buf  230133 | loss 1.4600 | +  1957 |   5.4s
round  138/170 | lines    0.56 | score       58 | eps 0.090 | buf  232124 | loss 1.4462 | +  1991 |   5.4s
round  139/170 | lines    0.75 | score       78 | eps 0.082 | buf  234153 | loss 1.4544 | +  2029 |   5.4s
  eval: 0.83 lines/game (max 2), score 83, pieces 29
round  140/170 | lines    0.88 | score       92 | eps 0.074 | buf  236340 | loss 1.4642 | +  2187 |   6.8s
round  141/170 | lines    0.89 | score       92 | eps 0.065 | buf  238491 | loss 1.4785 | +  2151 |   5.6s
round  142/170 | lines    1.11 | score      115 | eps 0.057 | buf  240588 | loss 1.4756 | +  2097 |   5.5s
round  143/170 | lines    0.72 | score       75 | eps 0.049 | buf  242671 | loss 1.4735 | +  2083 |   5.6s
round  144/170 | lines    0.64 | score       67 | eps 0.041 | buf  244706 | loss 1.4893 | +  2035 |   5.6s
round  145/170 | lines    0.54 | score       56 | eps 0.033 | buf  246691 | loss 1.4839 | +  1985 |   5.7s
